CountryID;CityID;DistrictID;LanguageID;DistrictName;Latitute;Longitude
BE;35202;34931;nl;Vorst;51.0666667;5.0166667
BE;35203;33188;nl;Gierle;51.2666667;4.85
BE;35203;33750;nl;Lille;51.2333333;4.8333333
BE;35203;34307;nl;Poederlee;51.2333333;4.8166667
BE;35203;35014;nl;Wechelderzande;51.2666667;4.7666667
BE;35204;34321;nl;Poppel;51.45;5.0333333
BE;35204;34366;nl;Ravels;51.3666667;5
BE;35204;35015;nl;Weelde;51.4166667;5
BE;35205;34149;nl;Oevel;51.1333333;4.8833333
BE;35205;34783;nl;Tongerlo;51.1166667;4.9
BE;35205;35037;nl;Westerlo;51.0833333;4.9166667
BE;35205;35138;nl;Zoerle-Parwijs;51.0833333;4.8666667
BE;35206;32463;nl;As;51.0166667;5.5833333
BE;35206;34097;nl;Niel-bij-As;51.0166667;5.6
BE;35207;32596;nl;Beringen;51.05;5.2166667
BE;35207;32621;nl;Beverlo;51.0833333;5.2
BE;35207;33601;nl;Koersel;51.0666667;5.2666667
BE;35207;34256;nl;Paal;51.0333333;5.1833333
BE;35208;32663;nl;Boekhout;50.75;5.2333333
BE;35208;32699;nl;Borlo;50.75;5.1666667
BE;35208;32778;nl;Buvingen;50.75;5.1666667
BE;35208;33195;nl;Gingelom;50.75;5.1166667
BE;35208;33540;nl;Jeuk;50.7333333;5.2
BE;35208;33619;nl;Kortijs;50.7;5.1333333
BE;35208;33956;nl;Mielen-boven-Aalst;50.75;5.2
BE;35208;33995;nl;Montenaken;50.7166667;5.1166667
BE;35208;34039;nl;Muizen;50.7666667;5.1666667
BE;35208;34098;nl;Niel-bij-Sint-Truiden;50.7333333;5.1333333
BE;35208;34929;nl;Vorsen;50.7;5.1666667
BE;35209;33292;nl;Halen;50.95;5.1
BE;35209;33777;nl;Loksbergen;50.9333333;5.05
BE;35209;35123;nl;Zelem;50.9833333;5.0833333
BE;35210;33333;nl;Hasselt;50.9333333;5.3333333
BE;35210;33577;nl;Kermt;50.95;5.25
BE;35210;33628;nl;Kuringen;50.95;5.3
BE;35210;34607;nl;Sint-Lambrechts-Herk;50.9;5.3
BE;35210;34700;nl;Stevoort;50.9166667;5.25
BE;35210;35078;nl;Wimmertingen;50.8833333;5.3333333
BE;35211;32588;nl;Berbroek;50.95;5.2
BE;35211;32932;nl;Donk;50.9333333;5.2333333
BE;35211;33392;nl;Herk-de-Stad;50.9333333;5.1666667
BE;35211;34547;nl;Schulen;50.95;5.1666667
BE;35211;35212;nl;Schakkebroek;50.9166667;5.2166667
BE;35213;33414;nl;Heusden;51.0333333;5.2666667
BE;35213;33415;nl;Heusden-Zolder;51.025;5.28
BE;35213;35140;nl;Zolder;51.0166667;5.3
BE;35214;33379;nl;Heppen;51.1166667;5.2166667
BE;35214;33712;nl;Leopoldsburg;51.1166667;5.25
BE;35215;33761;nl;Linkhout;50.9666667;5.1166667
BE;35215;33810;nl;Lummen;50.9833333;5.2
BE;35215;33908;nl;Meldert;51;5.1333333
BE;35216;32642;nl;Binderveld;50.8666667;5.15
BE;35216;33622;nl;Kozen;50.8833333;5.2333333
BE;35216;34101;nl;Nieuwerkerken;50.8666667;5.1833333
BE;35216;35064;nl;Wijer;50.9;5.2166667
BE;35217;32393;nl;Aalst;50.7833333;5.2
BE;35217;32758;nl;Brustem;50.8;5.2
BE;35217;32949;nl;Duras;50.8333333;5.1333333
BE;35217;32999;nl;Engelmanshoven;50.7666667;5.25
BE;35217;33160;nl;Gelinden;50.7666667;5.25
BE;35217;33219;nl;Gorsem;50.8333333;5.15
BE;35217;33260;nl;Groot-Gelmen;50.7833333;5.25
BE;35217;33299;nl;Halmaal;50.8;5.1333333
BE;35217;33575;nl;Kerkom-bij-Sint-Truiden;50.7833333;5.1666667
BE;35217;34216;nl;Ordingen;50.8166667;5.2166667
